"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2010","EUR","ESP","140 000 [120 000–150 000]","140000.00000","120000.00000","150000.00000",""
"HIV_0000000001","PUBLISHED","2010","SEAR","LKA","4000 [3400–4700]","4000.00000","3400.00000","4700.00000",""
"HIV_0000000001","PUBLISHED","2010","EMR","SDN","43 000 [36 000–51 000]","43000.00000","36000.00000","51000.00000",""
"HIV_0000000001","PUBLISHED","2010","AMR","SUR","4600 [3300–6200]","4600.00000","3300.00000","6200.00000",""
"HIV_0000000001","PUBLISHED","2010","EUR","SWE","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","EUR","CHE","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","EMR","SYR","570 [510–630]","570.00000","510.00000","630.00000",""
"HIV_0000000001","PUBLISHED","2010","EUR","TJK","9200 [7500–11 000]","9200.00000","7500.00000","11000.00000",""
"HIV_0000000001","PUBLISHED","2010","SEAR","THA","580 000 [490 000–690 000]","580000.00000","490000.00000","690000.00000",""
"HIV_0000000001","PUBLISHED","2010","SEAR","TLS","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","AFR","TGO","100 000 [96 000–110 000]","100000.00000","96000.00000","110000.00000",""
"HIV_0000000001","PUBLISHED","2010","AMR","TTO","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","EMR","TUN","1400 [980–2200]","1400.00000","980.00000","2200.00000",""
"HIV_0000000001","PUBLISHED","2010","EUR","TUR","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","EUR","TKM","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","AFR","UGA","1 200 000 [1 100 000–1 300 000]","1200000.00000","1100000.00000","1300000.00000",""
"HIV_0000000001","PUBLISHED","2010","EUR","UKR","230 000 [220 000–250 000]","230000.00000","220000.00000","250000.00000",""
"HIV_0000000001","PUBLISHED","2010","EMR","ARE","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","EUR","GBR","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","AFR","TZA","1 300 000 [1 100 000–1 400 000]","1300000.00000","1100000.00000","1400000.00000",""
"HIV_0000000001","PUBLISHED","2010","AMR","USA","990 000 [880 000–1 100 000]","990000.00000","880000.00000","1100000.00000",""
"HIV_0000000001","PUBLISHED","2010","AMR","URY","9600 [8000–11 000]","9600.00000","8000.00000","11000.00000",""
"HIV_0000000001","PUBLISHED","2010","EUR","UZB","30 000 [27 000–32 000]","30000.00000","27000.00000","32000.00000",""
"HIV_0000000001","PUBLISHED","2010","AMR","VEN","No data","","","",""
"HIV_0000000001","PUBLISHED","2010","WPR","VNM","220 000 [180 000–250 000]","220000.00000","180000.00000","250000.00000",""
"HIV_0000000001","PUBLISHED","2010","EMR","YEM","5100 [3500–7400]","5100.00000","3500.00000","7400.00000",""
"HIV_0000000001","PUBLISHED","2010","AFR","ZMB","1 000 000 [900 000–1 100 000]","1000000.00000","900000.00000","1100000.00000",""
"HIV_0000000001","PUBLISHED","2010","AFR","ZWE","1 200 000 [1 100 000–1 400 000]","1200000.00000","1100000.00000","1400000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","AFG","7200 [4100–11 000]","7200.00000","4100.00000","11000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ALB","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","DZA","16 000 [15 000–17 000]","16000.00000","15000.00000","17000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","AGO","330 000 [290 000–390 000]","330000.00000","290000.00000","390000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","ARG","140 000 [130 000–150 000]","140000.00000","130000.00000","150000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","ARM","3500 [3000–4400]","3500.00000","3000.00000","4400.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","AUS","28 000 [23 000–31 000]","28000.00000","23000.00000","31000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","AUT","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","AZE","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AMR","BHS","6000 [5300–6700]","6000.00000","5300.00000","6700.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","BHR","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","SEAR","BGD","14 000 [12 000–16 000]","14000.00000","12000.00000","16000.00000",""
"HIV_0000000001","PUBLISHED","2018","AMR","BRB","3000 [2700–3400]","3000.00000","2700.00000","3400.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","BLR","27 000 [22 000–34 000]","27000.00000","22000.00000","34000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","BEL","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AMR","BLZ","4900 [4400–5400]","4900.00000","4400.00000","5400.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","BEN","73 000 [48 000–120 000]","73000.00000","48000.00000","120000.00000",""
